name,repeat
aya_dataset_ar,1
aya_dataset_de,1
aya_dataset_en,1
aya_dataset_es,1
aya_dataset_eu,1
aya_dataset_fr,1
aya_dataset_it,1
aya_dataset_nl,1
aya_dataset_pt,1
claire_open_en,.1
claire_open_fr,.2
common-corpus_arabic-pd_ar,0
common-corpus_bnl-newspapers-1841-1879_fr,0
common-corpus_catalan-pd_ca,0
common-corpus_dutch-pd_nl,0
common-corpus_english-pd_en,0
common-corpus_eurlex_multi,.1
common-corpus_gatt-library_multi,.1
common-corpus_german-pd_de,0
common-corpus_german-science-pile_de,0
common-corpus_italian-pd_it,0
common-corpus_marianne-europe_multi,0
common-corpus_oecd_multi,0.1
common-corpus_open-science-pile_de,0
common-corpus_portuguese-pd_pt,0
common-corpus_spanish-pd-books_es,0
common-corpus_spanish-science-pile_es,0
common-corpus_tedeutenders_multi,0.1
common-corpus_wto_multi,0.1
common-pile_arxiv-abstracts_en,0
common-pile_arxiv-papers_en,0.05
common-pile_biodiversity-heritage-library_en,0
common-pile_caselaw-access-project_en,0
common-pile_data-provenance-initiative_en,0.2
common-pile_doab_en,0.2
common-pile_foodista_en,0.2
common-pile_github-archive_en,0.2
common-pile_library-of-congress_en,0
common-pile_libretexts_en,0.2
common-pile_news_en,0.2
common-pile_oercommons_en,0.2
common-pile_peS2o_en,0.01
common-pile_pre-1929-books_en,0
common-pile_pressbooks_en,0.2
common-pile_public-domain-review_en,0.2
common-pile_pubmed_en,0
common-pile_python-enhancement-proposals_en,0.2
common-pile_regulations_en,0
common-pile_stackexchange_en,0.025
common-pile_ubuntu-irc_en,0
common-pile_youtube_en,0
croissant-aligned_aligned,0.2
culturax_ar,0
culturax_de,0
culturax_es,0
culturax_fr,0.14
culturax_it,0
culturax_nl,0
culturax_pt,0
dclm-dolmino_en,0.05
europarl_aligned,0.
europarl_multi,0.1
eurovoc_filtered_multi,0.1
finemath-filtered_3plus_math,0
finemath-filtered_4plus_math,1
fineweb-edu_en,0.05
fineweb2_ar,0
fineweb2_ca,0.004
fineweb2_de,0
fineweb2_edu3+_ar,0.
fineweb2_edu3+_de,0.
fineweb2_edu3+_es,0.
fineweb2_edu3+_fr,0.2
fineweb2_edu3+_it,0.
fineweb2_edu3+_nl,0.
fineweb2_edu3+_pt,0.
fineweb2_edu4_ar,1
fineweb2_edu4_de,1
fineweb2_edu4_es,1
fineweb2_edu4_fr,1
fineweb2_edu4_it,1
fineweb2_edu4_nl,1
fineweb2_edu4_pt,1
fineweb2_es,0
fineweb2_fr,0.14
fineweb2_hq_ar,.5
fineweb2_hq_de,.5
fineweb2_hq_es,.5
fineweb2_hq_fr,.5
fineweb2_hq_it,.5
fineweb2_hq_nl,.5
fineweb2_hq_pt,.5
fineweb2_it,0
fineweb2_nl,0
fineweb2_pt,0
fineweb2_regional,0.2
gallica_monographies_fr,0
gallica_press_fr,0
gutenberg_de,0.1
gutenberg_en,0.1
gutenberg_es,0.1
gutenberg_fr,0.1
gutenberg_it,0.1
gutenberg_nl,0.1
gutenberg_pt,0.1
hal-cea_full-filtered_fr,0.2
hplt2_fr,0.14
infiwebmath-filtered_3plus_math,0
infiwebmath-filtered_4plus_math,1
insee_fr,0.2
math-pile_math,0
megamath-web-filtered_math,0.
nemotron-posttraining-chat_en,1
nemotron-posttraining-code_code,1
nemotron-posttraining-de-think_de,1
nemotron-posttraining-de_de,0.2
nemotron-posttraining-es-think_es,1
nemotron-posttraining-es_es,0.2
nemotron-posttraining-fr-think_fr,1
nemotron-posttraining-fr_fr,0.2
nemotron-posttraining-it-think_it,1
nemotron-posttraining-it_it,0.2
nemotron-posttraining-math_math,1
nemotron-posttraining-stem_en,1
open-code-reasoning_en,1
open-math-instruct_math,1
open-thoughts-code_en,1
open-thoughts-science_en,1
opendata_fr,0.2
opene-edition_fr,0
paradocs-grouped_en-de_aligned,.5
paradocs-grouped_en-es_aligned,.5
paradocs-grouped_en-fr_aligned,.5
paradocs-grouped_en-it_aligned,.5
paradocs-grouped_en-nl_aligned,.5
paradocs-grouped_en-pt_aligned,.5
parlement_fr,0.2
stack-edu_code,0.3
stack-math-qa-1600k_en,0
starcoder-data_code,0
starcoder_olmomix_code,0
synthetic-fineweb_extract-knowledge-easy_fr,0
synthetic-fineweb_extract-knowledge-hard_fr,0
synthetic-fineweb_extract-knowledge-medium_fr,0
theses_fr,0
wikimedia-vikidia_ar,0.2
wikimedia-vikidia_ca,0.04
wikimedia-vikidia_de,0.2
wikimedia-vikidia_en,0.2
wikimedia-vikidia_es,0.2
wikimedia-vikidia_fr,0.
wikimedia-vikidia_it,0.2
wikimedia-vikidia_pt,0.2
wikimedia-vikidia_regional,0.2
wikimedia_nl,0.2
wikipedia-synthetic-qa_fr,1
youtube_fr,0
